id,title,price,currency,location,condition,brand,date_posted,url,scraped_at,brand_version,price_range,is_brand_new,title_length,ram_gb,storage_gb
1,Vivo V50 256GB 12GB RAM5G (Brand New),79900.0,LKR,Colombo,Brand New,Vivo,,https://ikman.lk/en/ad/vivo-v50-256gb-12gb-ram5g-brand-new-for-sale-colombo-4,2026-02-21 02:37:02,V50,60k-100k,1,37,,256.0
2,Samsung Galaxy S6 Edge PLUS 64GB 4GB RAM (Brand New),25000.0,LKR,Colombo,Brand New,Samsung,,https://ikman.lk/en/ad/samsung-galaxy-s6-edge-plus-64gb-4gb-ram-brand-new-for-sale-colombo-3,2026-02-21 02:37:02,S6,10k-30k,1,52,4.0,64.0
3,Apple iPhone 13 Pro 128GB 5G (Used),129999.0,LKR,Kalutara,Used,Apple,,https://ikman.lk/en/ad/apple-iphone-13-pro-128gb-5g-used-for-sale-kalutara-2,2026-02-21 02:37:02,13,100k-200k,0,35,,128.0
4,Samsung Galaxy S22 (Used),85000.0,LKR,Kandy,Used,Samsung,1 minute,https://ikman.lk/en/ad/samsung-galaxy-s22-2022-used-for-sale-kandy,2026-02-21 02:37:02,S22,60k-100k,0,25,,
5,Realme GT 6T 5G 16GB 256GB (Used),62000.0,LKR,Puttalam,Used,Realme,2 minutes,https://ikman.lk/en/ad/realme-gt-6t-5g-16gb-256gb-used-for-sale-puttalam,2026-02-21 02:37:02,6T,60k-100k,0,33,,16.0
6,Apple iPhone 11 Pro (Used),70000.0,LKR,Gampaha,Used,Apple,9 minutes,https://ikman.lk/en/ad/apple-iphone-11-pro-used-for-sale-gampaha-2125,2026-02-21 02:37:02,11,60k-100k,0,26,,
7,Apple iPhone 16e (Used),135000.0,LKR,Puttalam,Used,Apple,11 minutes,https://ikman.lk/en/ad/apple-iphone-16e-brand-new-for-sale-puttalam-1,2026-02-21 02:37:02,16E,100k-200k,0,23,,
8,Xiaomi Poco M3 (Used),15500.0,LKR,Jaffna,Used,Xiaomi,17 minutes,https://ikman.lk/en/ad/xiaomi-poco-m3-used-for-sale-jaffna-45,2026-02-21 02:37:02,M3,10k-30k,0,21,,
9,Apple iPhone 13 Pro (Used),145000.0,LKR,Colombo,Used,Apple,17 minutes,https://ikman.lk/en/ad/apple-iphone-13-pro-used-for-sale-colombo-1997,2026-02-21 02:37:02,13,100k-200k,0,26,,
10,Infinix Smart 10 Plus (Used),27000.0,LKR,Ratnapura,Used,Infinix,17 minutes,https://ikman.lk/en/ad/infinix-smart-10-plus-used-for-sale-ratnapura-3,2026-02-21 02:37:02,10,10k-30k,0,28,,
11,Apple iPhone 12 (Used),85000.0,LKR,Jaffna,Used,Apple,18 minutes,https://ikman.lk/en/ad/apple-iphone-12-used-for-sale-jaffna-366,2026-02-21 02:37:02,12,60k-100k,0,22,,
12,Apple iPhone SE 2 (Used),40000.0,LKR,Galle,Used,Apple,19 minutes,https://ikman.lk/en/ad/apple-iphone-se-2-used-for-sale-galle-533,2026-02-21 02:37:02,2,30k-60k,0,24,,
13,Samsung Galaxy A07 (Used),20000.0,LKR,Colombo,Used,Samsung,21 minutes,https://ikman.lk/en/ad/samsung-galaxy-a07-brand-new-for-sale-colombo-246,2026-02-21 02:37:02,A07,10k-30k,0,25,,
14,Samsung Galaxy A17 5G (Used),82000.0,LKR,Trincomalee,Used,Samsung,24 minutes,https://ikman.lk/en/ad/samsung-galaxy-a17-5g-brand-new-for-sale-trincomalee-2,2026-02-21 02:37:02,A17,60k-100k,0,28,,
15,Apple iPhone 8 (Used),29000.0,LKR,Jaffna,Used,Apple,24 minutes,https://ikman.lk/en/ad/apple-iphone-8-i-phone-used-for-sale-jaffna-73,2026-02-21 02:37:02,8,10k-30k,0,21,,
16,Apple iPhone 15 (Used),170000.0,LKR,Colombo,Used,Apple,24 minutes,https://ikman.lk/en/ad/apple-iphone-15-used-for-sale-colombo-1208,2026-02-21 02:37:02,15,100k-200k,0,22,,
17,Apple iPhone SE 2 (Used),35000.0,LKR,Kalutara,Used,Apple,24 minutes,https://ikman.lk/en/ad/apple-iphone-se-2-used-for-sale-kalutara-638,2026-02-21 02:37:02,2,30k-60k,0,24,,
18,Samsung Galaxy A15 5G (Used),50000.0,LKR,Gampaha,Used,Samsung,26 minutes,https://ikman.lk/en/ad/samsung-galaxy-a15-5g-refurbished-for-sale-gampaha,2026-02-21 02:37:02,A15,30k-60k,0,28,,
19,Samsung Galaxy S21 FE (Used),22000.0,LKR,Jaffna,Used,Samsung,27 minutes,https://ikman.lk/en/ad/samsung-galaxy-s21-fe-used-for-sale-jaffna-32,2026-02-21 02:37:02,S21,10k-30k,0,28,,
20,Apple iPhone 6S (Used),13000.0,LKR,Kandy,Used,Apple,27 minutes,https://ikman.lk/en/ad/apple-iphone-6s-used-for-sale-kandy-6536,2026-02-21 02:37:02,6S,10k-30k,0,22,,
21,Nokia 110 (Used),5000.0,LKR,Ratnapura,Used,Nokia,27 minutes,https://ikman.lk/en/ad/nokia-110-brand-new-for-sale-ratnapura,2026-02-21 02:37:02,110,<10k,0,16,,
22,Vivo Y95 (Used),11000.0,LKR,Kalutara,Used,Vivo,28 minutes,https://ikman.lk/en/ad/china-mobile-used-for-sale-kalutara,2026-02-21 02:37:02,Y95,10k-30k,0,15,,
23,Samsung Galaxy A16 (Brand New),50000.0,LKR,Galle,Brand New,Samsung,28 minutes,https://ikman.lk/en/ad/samsung-galaxy-a16-brand-new-for-sale-galle,2026-02-21 02:37:02,A16,30k-60k,1,30,,
24,Samsung Galaxy A12 (Used),18000.0,LKR,Kandy,Used,Samsung,31 minutes,https://ikman.lk/en/ad/samsung-galaxy-a12-used-for-sale-kandy-773,2026-02-21 02:37:02,A12,10k-30k,0,25,,
25,Apple iPhone 12 Pro Max (Used),135000.0,LKR,Colombo,Used,Apple,31 minutes,https://ikman.lk/en/ad/apple-iphone-12-pro-max-used-for-sale-colombo-3874,2026-02-21 02:37:02,12,100k-200k,0,30,,
26,ZTE Nubia V60 (Used),36000.0,LKR,Colombo,Used,ZTE,33 minutes,https://ikman.lk/en/ad/zte-nubia-v60-used-for-sale-colombo-29,2026-02-21 02:37:02,V60,30k-60k,0,20,,
